TransactionID,Date,Amount,Category,Subcategory,Merchant,PaymentMethod,Location,UserID
1,2024-08-25 04:01:05.893340,58.11,Food,Restaurants,Vega-Sanchez,Cash,New Maryhaven,1
2,2024-06-23 12:02:36.102396,968.74,Food,Groceries,Smith PLC,Wallet,Stephanieland,2
3,2024-07-31 21:17:17.583663,827.95,Health,Insurance,Johnson Inc,UPI,West Madisonfort,5
4,2025-02-04 03:27:21.075315,90.72,Shopping,Clothing,Estrada-Middleton,Credit Card,Mooreberg,5
5,2025-01-24 05:38:43.941301,803.71,Health,Pharmacy,Zimmerman-Richards,Debit Card,East Matthewborough,4
6,2024-11-02 16:01:12.485612,472.09,Shopping,Home Goods,Payne-Davis,UPI,West Jamesville,1
7,2025-01-15 19:09:21.174512,723.22,Transport,Fuel,Garrison Inc,Cash,North Norman,1
8,2024-08-07 12:13:37.089683,20.96,Utilities,Electricity,Newton PLC,Credit Card,Port Brandonborough,3
9,2024-10-20 18:20:47.911438,913.83,Transport,Bus,"Farmer, Barrera and Rivera",Cash,Kingland,4
10,2024-09-17 11:36:18.748295,741.64,Utilities,Water,Jones Inc,Cash,Lake Barbara,1
11,2024-09-17 02:54:41.061440,118.76,Health,Pharmacy,"Joyce, Salazar and Johnson",Wallet,East Sandrafort,2
12,2025-03-23 11:49:54.745662,447.83,Entertainment,Concerts,Pierce-Burns,Cash,Elizabethburgh,4
13,2025-03-30 01:10:32.808389,399.75,Shopping,Home Goods,"Johnson, Holder and Davenport",Credit Card,Moniquebury,1
14,2025-03-12 07:17:10.572447,33.9,Health,Insurance,"Oneill, Wilcox and Heath",Cash,Floresburgh,4
15,2025-02-28 01:12:27.073668,522.27,Shopping,Home Goods,Hill Inc,Wallet,Grahamshire,2
16,2024-10-28 03:12:01.088762,523.87,Health,Insurance,"Murray, Jones and Bruce",UPI,Lake Amanda,1
17,2024-06-27 19:48:08.072888,913.37,Entertainment,Concerts,"Townsend, Williams and Ballard",Credit Card,East Melissa,3
18,2024-12-28 02:10:48.696301,736.77,Entertainment,Concerts,Jackson-Hoover,Credit Card,Stewartstad,4
19,2024-08-30 03:51:29.365760,641.97,Entertainment,Games,Reeves-Greer,Credit Card,Julieburgh,3
20,2025-01-07 21:51:43.389892,269.48,Shopping,Electronics,"Williams, Ferrell and Rodriguez",Wallet,Lake Karenside,3
21,2024-08-09 23:00:31.364435,820.19,Shopping,Electronics,Werner Group,UPI,Lisatown,1
22,2024-08-18 08:21:09.376772,869.34,Food,Groceries,Walters-Rivas,UPI,Seanchester,4
23,2024-06-18 02:34:28.424362,526.11,Shopping,Home Goods,"King, Moon and Cox",Cash,Hannahfort,4
24,2024-06-28 18:51:17.248900,137.65,Utilities,Electricity,Johnson-Stephens,Cash,Jenniferbury,3
25,2025-01-21 14:08:09.658993,772.23,Food,Restaurants,"Patterson, Wilson and Coleman",Credit Card,Port Sheri,1
26,2024-12-25 20:23:31.841591,962.32,Health,Pharmacy,Stewart-Guerrero,Debit Card,South Tylerville,2
27,2025-05-01 15:53:38.429344,554.47,Transport,Train,"Mcgee, Williams and Fuentes",Cash,South Kristin,3
28,2024-09-16 21:29:27.829692,832.83,Transport,Train,"Johnson, Adams and Fowler",Debit Card,North Gregoryburgh,1
29,2025-02-23 08:45:14.797165,655.36,Health,Insurance,Newman-Myers,Credit Card,Port Jennifer,2
30,2025-04-27 06:03:39.421310,458.16,Shopping,Home Goods,Merritt PLC,Credit Card,South Glendachester,4
31,2024-09-13 13:11:52.638859,303.75,Health,Clinic,Curtis-Russo,Wallet,Port Kathleen,5
32,2024-07-27 11:15:24.734145,179.99,Utilities,Electricity,"Trujillo, Goodman and Spence",Wallet,South Kimberlyberg,1
33,2025-02-21 04:08:56.991962,456.48,Entertainment,Games,"Martinez, Davis and Chapman",Debit Card,Markstad,4
34,2025-04-16 19:54:35.015635,370.14,Food,Groceries,Sandoval-Miller,Cash,Adamsfort,3
35,2024-11-29 19:43:09.887517,774.25,Health,Clinic,Hayes Group,Credit Card,Port Olivia,5
36,2025-04-11 22:31:25.226019,635.53,Shopping,Home Goods,Rojas PLC,Credit Card,Wendyville,2
37,2025-03-21 16:48:12.833063,150.09,Food,Groceries,Marsh-Rogers,Debit Card,Harrisonville,3
38,2024-09-21 17:39:53.359586,829.4,Utilities,Water,"Williams, Reynolds and Turner",Credit Card,New Robyn,2
39,2024-09-23 01:41:00.183896,646.08,Transport,Train,"Mccarthy, Ray and Jenkins",UPI,Port Daniellemouth,2
40,2025-01-19 23:38:48.362223,370.68,Health,Clinic,"Johnson, Moses and Griffin",Cash,Lake Brandon,5
41,2024-12-18 10:55:24.051350,272.26,Entertainment,Games,Mathews-Gonzales,Credit Card,Davisburgh,5
42,2025-01-09 01:45:36.480303,67.93,Entertainment,Concerts,Farrell-Ellis,Wallet,East Jessica,1
43,2025-02-06 01:47:32.377104,593.15,Utilities,Water,Holmes PLC,Credit Card,Scottport,3
44,2025-02-06 12:08:02.161385,179.98,Utilities,Water,Freeman and Sons,Credit Card,Heathershire,5
45,2024-10-24 22:29:38.187425,785.67,Utilities,Internet,Davidson-Jenkins,Credit Card,Port Alexis,5
46,2024-12-25 19:47:03.533805,150.88,Shopping,Home Goods,Bell-Mendoza,Debit Card,Port Harryland,5
47,2024-12-29 11:00:39.197464,714.29,Food,Fast Food,"Holmes, Young and Gonzales",Debit Card,Port Johnside,5
48,2024-08-26 08:04:30.809158,544.2,Utilities,Electricity,Hart Group,UPI,Garretthaven,4
49,2025-01-01 06:26:39.888067,192.72,Shopping,Electronics,Simmons Ltd,Wallet,Harrisland,2
50,2025-05-01 08:14:55.832556,319.57,Entertainment,Games,"Hunter, Smith and Ruiz",Debit Card,East Debra,1
51,2024-12-02 16:01:15.167236,113.52,Utilities,Internet,Prince-Pierce,UPI,Popemouth,3
52,2024-06-06 02:19:47.257186,130.93,Transport,Train,Fitzgerald-Jordan,Wallet,East Kathy,1
53,2024-09-10 13:37:10.531870,787.84,Transport,Fuel,"Moore, Campbell and Rogers",Debit Card,Port Richard,5
54,2024-07-16 01:21:05.016714,401.7,Health,Insurance,Smith-Miller,Cash,East Jennifer,5
55,2025-05-02 23:23:19.270059,123.73,Transport,Train,"Jennings, Harding and Davis",Credit Card,Josephmouth,5
56,2024-07-22 15:19:03.055140,419.52,Food,Groceries,"Mcdowell, Mullins and Beck",Credit Card,Samuelchester,1
57,2024-08-17 09:01:51.742375,921.14,Food,Fast Food,Stevens-Wilson,Wallet,Romeromouth,5
58,2024-07-09 05:49:47.044422,657.4,Shopping,Home Goods,"Perez, Duke and Smith",Cash,Howardville,3
59,2025-05-15 13:39:04.035984,509.01,Health,Clinic,Norton-Andrade,Cash,Smithton,4
60,2024-11-21 18:10:04.413657,246.13,Transport,Fuel,Torres Ltd,Cash,Stevensbury,3
61,2024-08-01 11:48:25.037332,325.38,Health,Insurance,"Hardy, Jensen and Valdez",Cash,East Sabrinatown,4
62,2025-02-04 17:38:06.287706,992.63,Food,Restaurants,"Robbins, Lee and Warner",Debit Card,North Kimberlyburgh,3
63,2025-05-12 01:33:04.359159,711.52,Shopping,Clothing,Walker-Curry,UPI,Lake Johnview,2
64,2024-09-14 09:40:56.643202,957.75,Food,Fast Food,Thomas and Sons,Wallet,Mariafurt,2
65,2024-11-01 07:34:54.322385,794.57,Entertainment,Games,"Cain, Russell and Blackwell",Credit Card,North Allen,1
66,2024-06-20 09:57:26.800303,71.44,Utilities,Electricity,Marquez and Sons,Cash,South Amymouth,4
67,2024-10-25 09:08:46.380523,393.82,Health,Pharmacy,Taylor Ltd,Debit Card,Kristaburgh,4
68,2024-07-29 14:11:15.648859,694.87,Shopping,Clothing,Garrett Ltd,Credit Card,Wyattport,1
69,2024-10-11 09:04:40.102008,730.97,Utilities,Internet,"Hernandez, Villanueva and Morgan",Wallet,Sharonbury,4
70,2024-12-10 18:42:28.320455,834.63,Transport,Uber,Cross Inc,Credit Card,New Chelsea,5
71,2024-07-26 04:26:33.127439,171.08,Entertainment,Games,Benson-Vargas,Cash,West Kathryn,5
72,2025-02-14 07:32:03.975628,415.14,Utilities,Internet,Hill-Liu,Debit Card,West Erika,1
73,2024-10-29 15:25:47.168490,989.56,Food,Fast Food,"Miller, Ramos and Burns",Debit Card,North Robert,4
74,2025-01-23 19:31:15.297421,708.27,Health,Pharmacy,Jones PLC,Debit Card,Calhounstad,1
75,2024-10-17 13:03:09.732726,633.41,Entertainment,Movies,Reynolds-Morton,Wallet,Cartershire,2
76,2024-09-17 12:24:14.125443,521.2,Transport,Uber,Clark and Sons,Debit Card,West Jennifershire,2
77,2024-10-29 19:10:50.036603,469.23,Transport,Bus,Tanner Inc,Credit Card,West Maryhaven,1
78,2025-03-13 23:44:37.413687,427.25,Utilities,Water,Scott-Ross,UPI,Castillochester,4
79,2024-07-02 13:21:59.198939,921.22,Utilities,Internet,"Rowe, Kelly and Knight",Wallet,New Dawnfurt,2
80,2025-03-31 14:53:02.733921,74.45,Utilities,Internet,Myers-Phillips,UPI,Vazquezfort,4
81,2024-12-09 02:38:11.503770,909.08,Utilities,Electricity,Alexander and Sons,Cash,Lake Cassie,5
82,2024-10-02 03:07:49.353017,488.74,Entertainment,Movies,Martin Ltd,Cash,Brownport,2
83,2025-01-30 09:06:06.551491,439.88,Entertainment,Games,Lamb-Miller,Debit Card,Jamesfort,5
84,2024-08-23 03:01:31.682729,691.67,Food,Restaurants,Mcgrath-Price,Cash,New Valerieside,4
85,2025-05-03 09:10:12.235087,531.71,Food,Groceries,Barton PLC,UPI,Patrickside,1
